epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3132,2.55349,4.26865,1.27955,0.12218,0.10838,0.098,0.04459,2.61084,4.0679,1.56198,0.0793,0.0023,0.0023
2,134.394,2.39331,2.07087,1.21943,0.00242,0.00134,0.00011,4e-05,4.4869,51.2699,12.6707,0.0576069,0.00460694,0.00460694
3,203.42,2.50344,2.12776,1.16844,3e-05,0.00802,1e-05,0,4.5371,1.1243e+06,114.564,0.0358188,0.00681884,0.00681884
4,252.4,2.58592,2.06635,1.24749,8e-05,0.0183,4e-05,1e-05,4.7315,246933,24.5931,0.0139357,0.0089357,0.0089357
5,336.475,2.51974,1.97672,1.21971,5e-05,0.00668,3e-05,1e-05,4.50718,80983.5,14.2341,0.009208,0.009208,0.009208
6,397.385,2.39921,1.76566,1.19389,0.17219,0.17841,0.09532,0.03061,2.67775,4.03242,1.52884,0.00901,0.00901,0.00901
7,455.874,2.28258,1.59823,1.112,0.3582,0.13346,0.11898,0.04794,2.4915,3.23352,1.22561,0.008812,0.008812,0.008812
8,505.867,2.23426,1.70421,1.11456,0.2436,0.15066,0.12415,0.05318,2.42255,3.05183,1.20461,0.008614,0.008614,0.008614
9,560.937,2.15307,1.58773,1.1422,0.33689,0.12392,0.15418,0.06363,2.24674,2.68628,1.1849,0.008416,0.008416,0.008416
10,651.641,2.21036,1.57512,1.11261,0.10857,0.07229,0.04563,0.02225,2.29211,9.94996,1.25608,0.008218,0.008218,0.008218
11,729.95,2.28604,1.6589,1.14468,0.24814,0.17109,0.1189,0.04939,2.35409,4.63496,1.2193,0.00802,0.00802,0.00802
12,783.675,2.22674,1.68289,1.15314,0.38391,0.21553,0.18246,0.06062,2.29398,2.42984,1.10719,0.007822,0.007822,0.007822
13,829.935,2.14368,1.53485,1.11262,0.27007,0.08561,0.07391,0.02532,2.83055,3.07229,1.31917,0.007624,0.007624,0.007624
14,867.523,2.1097,1.48989,1.07092,0.41164,0.23123,0.26284,0.10021,2.3521,2.11289,1.16373,0.007426,0.007426,0.007426
15,908.787,2.0511,1.3716,1.11136,0.41441,0.44223,0.36391,0.13799,1.98083,1.48751,1.05144,0.007228,0.007228,0.007228
16,953.206,2.09573,1.47671,1.06445,0.54112,0.39909,0.42412,0.1925,1.90675,1.62094,1.0488,0.00703,0.00703,0.00703
17,996.393,2.0594,1.43662,1.06442,0.45744,0.41523,0.35571,0.16012,1.91653,1.57996,1.04868,0.006832,0.006832,0.006832
18,1031.8,2.16957,1.45361,1.05731,0.46299,0.25398,0.28238,0.12653,2.18102,2.36019,1.11595,0.006634,0.006634,0.006634
19,1069.45,2.01265,1.3474,1.07588,0.36316,0.15473,0.13615,0.05809,2.19838,2.53354,1.22032,0.006436,0.006436,0.006436
20,1108.8,1.94677,1.33406,1.08051,0.37923,0.1779,0.12339,0.05205,2.02622,3.14894,1.10516,0.006238,0.006238,0.006238
21,1144.82,1.97702,1.31395,1.05184,0.40494,0.42855,0.37172,0.16021,1.89387,1.59221,1.04791,0.00604,0.00604,0.00604
22,1178.92,1.8415,1.18178,1.00295,0.52028,0.39439,0.41706,0.1867,1.83967,1.45055,1.03667,0.005842,0.005842,0.005842
23,1215.04,1.85337,1.22869,1.02417,0.55741,0.42565,0.44556,0.20483,1.80247,1.27523,1.01689,0.005644,0.005644,0.005644
24,1253.67,1.78455,1.20018,1.02446,0.5474,0.36893,0.40846,0.19557,1.67606,1.95515,0.99208,0.005446,0.005446,0.005446
25,1293.23,1.81586,1.19118,1.04224,0.51972,0.58026,0.52675,0.253,1.65151,1.23032,0.98356,0.005248,0.005248,0.005248
26,1327.01,1.78199,1.14213,1.02659,0.3917,0.26898,0.2793,0.13452,1.80731,2.1144,1.01252,0.00505,0.00505,0.00505
27,1359.38,1.81758,1.12726,1.00116,0.56192,0.50186,0.52327,0.2436,1.67361,1.06893,0.97136,0.004852,0.004852,0.004852
28,1391.3,1.76312,1.10095,1.00808,0.61478,0.40468,0.4452,0.21563,1.75112,1.31069,1.00296,0.004654,0.004654,0.004654
29,1423.87,1.82456,1.16862,0.99771,0.52164,0.51775,0.54151,0.25436,1.65372,1.04303,0.97432,0.004456,0.004456,0.004456
30,1458.25,1.73653,1.04772,0.99054,0.60293,0.56189,0.58309,0.29297,1.5479,0.9936,0.95664,0.004258,0.004258,0.004258
31,1489.13,1.67089,0.99134,0.97679,0.61812,0.58911,0.6019,0.3042,1.53409,0.97698,0.94918,0.00406,0.00406,0.00406
32,1524.65,1.65812,1.02585,1.00863,0.62451,0.59258,0.61118,0.29859,1.64362,0.96929,0.96887,0.003862,0.003862,0.003862
33,1553.88,1.6932,0.96949,0.97214,0.62481,0.56485,0.594,0.30389,1.55626,0.9998,0.95854,0.003664,0.003664,0.003664
34,1583.73,1.64306,0.99579,0.9864,0.66227,0.54847,0.60767,0.32202,1.46561,0.95335,0.94177,0.003466,0.003466,0.003466
35,1613.91,1.55745,0.94977,0.96281,0.61526,0.5941,0.60049,0.30117,1.50162,1.04664,0.94506,0.003268,0.003268,0.003268
36,1646.13,1.59553,0.98392,0.98437,0.58835,0.64434,0.63638,0.31745,1.49287,0.93131,0.94316,0.00307,0.00307,0.00307
37,1682.63,1.59807,0.9363,0.97431,0.60631,0.60404,0.6027,0.31004,1.46023,0.93624,0.94283,0.002872,0.002872,0.002872
38,1714.79,1.53083,0.92861,0.95427,0.58439,0.61699,0.59851,0.30318,1.46278,0.88065,0.94177,0.002674,0.002674,0.002674
39,1747.82,1.57869,0.94421,0.9622,0.65161,0.58454,0.61814,0.32845,1.44335,0.89124,0.93355,0.002476,0.002476,0.002476
40,1780.84,1.44454,0.87521,0.93565,0.65614,0.58726,0.63939,0.34205,1.42915,0.95426,0.92478,0.002278,0.002278,0.002278
41,1816.41,1.51719,0.88961,0.94845,0.61647,0.56457,0.59569,0.3072,1.46194,0.97761,0.93109,0.00208,0.00208,0.00208
42,1851.66,1.53278,0.93288,0.9408,0.70691,0.56988,0.63767,0.31843,1.44065,0.87514,0.93158,0.001882,0.001882,0.001882
43,1882.9,1.45117,0.88321,0.93489,0.68642,0.62556,0.67513,0.35917,1.36363,0.79133,0.91876,0.001684,0.001684,0.001684
44,1913.54,1.4743,0.90317,0.93238,0.69184,0.59148,0.64055,0.34443,1.39894,0.89607,0.92346,0.001486,0.001486,0.001486
45,1941.88,1.4491,0.83107,0.92349,0.66983,0.59869,0.6622,0.35328,1.37544,0.8426,0.91706,0.001288,0.001288,0.001288
46,1971.04,1.41985,0.80863,0.9128,0.67417,0.61461,0.65962,0.36307,1.34863,0.79521,0.91961,0.00109,0.00109,0.00109
47,2002.4,1.41353,0.83508,0.93615,0.71498,0.57934,0.65337,0.36752,1.35966,0.80794,0.91527,0.000892,0.000892,0.000892
48,2034.15,1.44374,0.82021,0.91797,0.77005,0.58911,0.67438,0.37902,1.32764,0.77044,0.90829,0.000694,0.000694,0.000694
49,2064.9,1.43021,0.79603,0.91904,0.73071,0.61461,0.68252,0.38716,1.30802,0.74492,0.906,0.000496,0.000496,0.000496
50,2096.85,1.37915,0.7935,0.90593,0.74416,0.61952,0.6885,0.39273,1.28783,0.73365,0.90282,0.000298,0.000298,0.000298
